categoria,nome,preco,link
HOLMSTA,Armchair,199,https://www.ikea.com/ie/en/p/holmsta-armchair-handmade-beige-90508551/
EKTORP,Armchair,329,https://www.ikea.com/ie/en/p/ektorp-armchair-hallarp-beige-s79400670/
POÄNG,Armchair,90,https://www.ikea.com/ie/en/p/poaeng-armchair-white-stained-oak-veneer-knisa-light-beige-s89286612/
BINGSTA,Armchair,179,https://www.ikea.com/ie/en/p/bingsta-armchair-vissle-dark-yellow-kabusa-dark-yellow-10455655/
PELLO,Armchair,80,https://www.ikea.com/ie/en/p/pello-armchair-holmby-natural-90078462/
SÖDERHAMN,Chaise longue,435,https://www.ikea.com/ie/en/p/soederhamn-chaise-longue-finnsta-white-s09133675/
POÄNG,Armchair,90,https://www.ikea.com/ie/en/p/poaeng-armchair-black-brown-knisa-black-s19240830/
VALLENTUNA,Cover for back cushion,20,https://www.ikea.com/ie/en/p/vallentuna-cover-for-back-cushion-hillared-beige-10487388/
POÄNG,Armchair,90,https://www.ikea.com/ie/en/p/poaeng-armchair-oak-veneer-knisa-light-beige-s99240807/
POÄNG,Rocking-chair,125,https://www.ikea.com/ie/en/p/poaeng-rocking-chair-white-stained-oak-veneer-knisa-light-beige-s79429268/
LINNEBÄCK,Easy chair,60,https://www.ikea.com/ie/en/p/linnebaeck-easy-chair-ramna-olive-green-10487227/
VIMLE,Chaise longue,510,https://www.ikea.com/ie/en/p/vimle-chaise-longue-saxemara-black-blue-s09399910/
SÖDERHAMN,Chaise longue,435,https://www.ikea.com/ie/en/p/soederhamn-chaise-longue-finnsta-turquoise-s19135749/
SÖDERHAMN,Chaise longue,370,https://www.ikea.com/ie/en/p/soederhamn-chaise-longue-samsta-orange-s79305606/
LANDSKRONA,Armchair,550,https://www.ikea.com/ie/en/p/landskrona-armchair-grann-bomstad-black-metal-s99031776/
FRÖSÖN/DUVHOLMEN,"Seat cushion, outdoor,",40,https://www.ikea.com/ie/en/p/froesoen-duvholmen-seat-cushion-outdoor-beige-s99253079/
FRÖSÖN/DUVHOLMEN,"Back cushion, outdoor,",30,https://www.ikea.com/ie/en/p/froesoen-duvholmen-back-cushion-outdoor-dark-grey-s29253110/
FRÖSÖN/DUVHOLMEN,"Chair cushion, outdoor,",12,https://www.ikea.com/ie/en/p/froesoen-duvholmen-chair-cushion-outdoor-beige-s29252889/
KUDDARNA,"Chair cushion, outdoor,",7,https://www.ikea.com/ie/en/p/kuddarna-chair-cushion-outdoor-grey-70411084/
FRÖSÖN/DUVHOLMEN,"Sun lounger cushion,",75,https://www.ikea.com/ie/en/p/froesoen-duvholmen-sun-lounger-cushion-beige-s09444149/
FRÖSÖN/DUVHOLMEN,"Back cushion, outdoor,",30,https://www.ikea.com/ie/en/p/froesoen-duvholmen-back-cushion-outdoor-beige-s29253105/
FRÖSÖN/DUVHOLMEN,"Seat cushion, outdoor,",40,https://www.ikea.com/ie/en/p/froesoen-duvholmen-seat-cushion-outdoor-dark-grey-s99253084/
KUDDARNA,"Chair cushion, outdoor,",7,https://www.ikea.com/ie/en/p/kuddarna-chair-cushion-outdoor-beige-80411069/
JÄRPÖN/DUVHOLMEN,"Chair cushion, outdoor,",27,https://www.ikea.com/ie/en/p/jaerpoen-duvholmen-chair-cushion-outdoor-anthracite-s09304870/
FRÖSÖN/DUVHOLMEN,"Chair cushion, outdoor,",20,https://www.ikea.com/ie/en/p/froesoen-duvholmen-chair-cushion-outdoor-beige-s29291329/
KUDDARNA,"Chair cushion, outdoor,",15,https://www.ikea.com/ie/en/p/kuddarna-chair-cushion-outdoor-grey-40417921/
KUDDARNA,"Seat/back cushion, outdoor,",30,https://www.ikea.com/ie/en/p/kuddarna-seat-back-cushion-outdoor-beige-80411130/
SKARPÖ,"Armchair, outdoor",50,https://www.ikea.com/ie/en/p/skarpoe-armchair-outdoor-white-70234185/
GÅRÖ / HAMNÖN,Hammock with stand,120,https://www.ikea.com/ie/en/p/garoe-hamnoen-hammock-with-stand-grey-red-white-s69444028/
ÄPPLARÖ,"Armchair, outdoor",90,https://www.ikea.com/ie/en/p/aepplaroe-armchair-outdoor-brown-stained-60469056/
BRUSEN,"3-seat sofa, outdoor",215,https://www.ikea.com/ie/en/p/brusen-3-seat-sofa-outdoor-red-70424147/
